FID,month,year,lat,long,d15N,d13C,distMeters,nearLand,densityLar,densitySma,Ches,Del,Hud,LI,Nar,Bos
139,11,"2,002",43.845,-68.33333333,4.1,NA,27640.46,27603.74,2.00E-06,0,927021.28,777431.1,597438.72,473738.36,350059.76,272253.37
140,6,"2,004",43.80833333,-68.33216667,5.8,NA,30506.15,30488.66,2.10E-06,0,924333.53,774844.02,595076.45,471265.42,347291.43,269858
141,11,"2,001",41.80166667,-68.30333333,4,NA,135347.4,134290.21,4.90E-06,0,793137.71,654373.54,498260.38,378357.62,254175.29,227269.37
142,6,"2,002",41.72833333,-68.295,6.8,NA,135846.22,134773.05,4.80E-06,0,789656.89,651557.2,496868.74,377654.57,254498.72,230321.76
143,1,"2,002",42.75333333,-68.28833333,2.8,NA,123336.39,123702.95,4.30E-06,0,852440.7,707200.51,536839.54,412077.03,282534.08,223998.68
144,11,"2,001",42.55166667,-68.28333333,3,NA,144531.72,145032.88,4.60E-06,0,839652.66,695559.42,527725.95,403450.25,273957.5,221114.75
145,11,"2,003",41.4,-68.24,6,NA,144652.89,143530.39,4.30E-06,0,776274.25,641477.05,493743.96,378186.35,260646.14,248250.24
146,11,"2,000",42.66166667,-68.16333333,1.7,NA,136717.25,137085.4,4.00E-06,0,854727.38,710329.36,541682.03,417204.92,287636.33,232301.8
147,8,"2,001",42.17333333,-68.15666667,3,NA,152695.59,151659.07,4.40E-06,0,824935.01,683707.2,521960.67,399528.85,271783.22,231458.59
148,5,"2,002",41.14666667,-68.14333333,6.1,NA,153041.25,151754.37,3.50E-06,0,771132.92,639371.21,497738.98,385607.42,273240.57,268716.37
149,11,"2,004",43.99333333,-68.13166667,5.6,NA,18826.66,18845.44,1.30E-06,0,950093.51,800450.99,620271.97,496679.93,373160.62,295140.88
150,1,"2,002",41.60333333,-68.11166667,3.3,NA,151775.56,150569.44,4.00E-06,0,796210.68,659854.7,508482.16,390766.69,269651.92,249203.06
151,6,"2,001",41.4,-68.09666667,6.06,NA,156355.16,155176.83,3.70E-06,0,786896.46,652577.96,505470.43,390059.12,272463.65,259011.95
152,8,"2,001",43,-68.08666667,3.6,NA,107008.47,107098.44,3.20E-06,0,882019.42,736051.82,563898.55,438923.22,309689.93,246577.28
153,1,"2,004",42.435,-68.018,7.6,NA,164602.99,165056.72,3.70E-06,0,850287.12,707676.19,542728.08,419153.82,290154.07,241928.35
154,1,"2,004",42.43433333,-68.015,9.8,NA,164772.04,165224.64,3.70E-06,0,850451.41,707853.44,542929.2,419361.12,290366.56,242171.2
